25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
6.925,6.927,7.015,6.987,6.915,6.955,6.947,7.044,6.885,6.963,6.95,7.059,6.814,6.918,6.944,7.003,7.885,7.877,7.975,7.975,7.972,7.792,7.845,8.007,7.859,7.947,7.94,7.97,7.888,7.8,7.892,7.918,9.746,9.81,9.78,9.953,9.773,9.813,9.745,9.886,9.695,9.844,9.736,9.885,9.75,9.729,9.915,9.763,10.703,10.633,10.792,10.784,10.698,10.675,10.591,10.764,10.521,10.753,10.728,10.715,10.61,10.556,10.729,10.888,12.754,12.42,12.425,12.314,12.829,12.545,12.517,12.503,12.171,12.705,12.458,12.854,12.3,12.178,12.384,12.514,13.696,13.264,13.714,13.335,13.444,13.086,13.344,14.09,12.926,13.222,13.858,13.514,13.337,13.02,13.715,13.76,16.211,14.662,16.452,15.668,14.979,16.04,15.344,14.927,15.983,14.899,15.002,16.162,14.82,14.863,15.865,15.328,15.794,17.158,16.306,15.735,17.579,16.345,16.355,16.573,16.565,16.518,15.751,17.794,15.66,16.171,17.666,15.487,18.619,19.334,18.198,19.404,18.966,18.107,18.525,18.803,18.807,18.142,18.63,18.256,18.39,18.458,18.612,18.082,17.677,20.917,19.386,20.548,18.406,20.565,19.183,19.483,18.855,21.304,19.06,19.435,19.735,19.966,19.387,19.078,22.19,22.755,23.212,21.715,21.091,23.883,20.844,21.698,20.229,24.254,20.407,21.987,20.157,22.808,21.471,21.188
0.132,0.15,0.119,0.124,0.175,0.15,0.151,0.136,0.217,0.182,0.074,0.256,0.389,0.093,0.177,0.163,0.408,0.144,0.371,0.148,0.206,0.333,0.162,0.272,0.251,0.194,0.189,0.159,0.179,0.275,0.271,0.221,0.348,0.669,0.22,0.28,0.282,0.556,0.325,0.579,0.327,0.299,0.39,0.461,0.32,0.336,0.366,0.401,0.479,0.494,0.34,0.455,0.438,0.464,0.541,0.51,0.58,0.419,0.426,0.285,0.469,0.468,0.452,0.539,0.662,0.833,0.592,0.829,0.776,0.567,0.779,0.731,0.868,0.49,0.563,0.719,0.928,0.83,0.686,0.869,0.768,0.872,1.169,0.93,0.821,1.205,0.86,0.802,1.074,0.996,1.019,1.334,1.031,1.327,1.093,0.713,0.694,1.607,1.924,0.681,1.507,0.827,0.663,1.286,0.821,1.101,1.333,1.04,1.18,1.237,0.962,1.134,1.425,0.868,0.694,1.334,1.719,0.826,0.84,1.57,1.424,0.869,1.373,1.468,1.34,1.109,0.808,1.591,0.648,1.657,1.222,1.369,0.551,1.355,0.745,1.304,1.02,0.919,0.553,0.949,1.123,1.198,0.948,1.494,2.323,2.082,0.876,2.178,2.073,2.174,0.886,1.276,2.26,2.405,0.94,1.374,1.581,1.65,0.831,1.249,1.506,1.722,1.61,1.653,1.296,2.021,1.366,1.84,1.771,2.62,2.167,0.8,2.0,1.772,2.878,1.237
